image_id,ar,num_input_candidates,num_valid_candidates,num_effective_candidates,num_cheap_kept,num_expensive_eval,selected_k,decision_type,delta_improve
sstk_image_1347231989,1:1,125,125,125,31,31,5,minimal_crop,0.025206748724103778
sstk_image_1347231989,9:16,128,128,128,30,30,5,crop,0.20026349191940263
sstk_image_1347231989,16:9,72,72,72,30,30,5,crop,3.6582047753317277
sstk_image_1347231989,3:4,147,147,147,31,31,5,minimal_crop,0.018286373364585495
sstk_image_1347231989,4:3,78,78,78,30,30,5,crop,0.5696102276340937
pond5_image_172490384,1:1,113,113,113,30,30,5,crop,4.287078262145251
pond5_image_172490384,9:16,73,73,73,30,30,5,crop,2.2702194106579334
pond5_image_172490384,16:9,126,126,126,30,30,5,minimal_crop,0.0
pond5_image_172490384,3:4,83,83,83,30,30,5,crop,7.956752894249702
pond5_image_172490384,4:3,159,159,159,30,30,5,crop,1.5190243068742029
bigstock_image_473115985,1:1,112,112,112,30,30,5,crop,3.784830597495738
bigstock_image_473115985,9:16,60,60,60,30,30,5,crop,4.74618207478356
bigstock_image_473115985,16:9,112,112,112,30,30,5,crop,2.101089176457964
bigstock_image_473115985,3:4,93,93,93,30,30,5,crop,3.619745074020284
bigstock_image_473115985,4:3,160,160,160,30,30,5,crop,1.8908791597614134
sstk_image_217513753,1:1,117,117,117,30,30,5,minimal_crop,0.0
sstk_image_217513753,9:16,53,53,53,30,30,5,crop,0.23797753588777226
sstk_image_217513753,16:9,165,165,165,30,30,5,crop,0.6964073936313842
sstk_image_217513753,3:4,59,59,59,30,30,5,crop,0.17721743188128602
sstk_image_217513753,4:3,149,149,149,30,30,5,minimal_crop,0.0
sstk_image_2147163911,1:1,127,127,127,30,30,5,crop,2.992505483426842
sstk_image_2147163911,9:16,72,72,72,30,30,5,crop,5.243008597371494
sstk_image_2147163911,16:9,153,153,153,30,30,5,crop,1.361136747047956
sstk_image_2147163911,3:4,75,75,75,30,30,5,crop,3.9292154753858703
sstk_image_2147163911,4:3,162,162,162,30,30,5,crop,1.0728494009135443
sstk_image_2207016299,1:1,117,117,117,31,31,5,crop,1.635349535162303
sstk_image_2207016299,9:16,68,68,68,30,30,5,crop,6.034198141337349
sstk_image_2207016299,16:9,121,121,121,30,30,5,minimal_crop,0.0
sstk_image_2207016299,3:4,86,86,86,31,31,5,crop,4.413037958058271
sstk_image_2207016299,4:3,156,156,156,31,31,5,minimal_crop,0.007160419351698755
sstk_image_1689528136,1:1,120,120,120,30,30,5,crop,0.19746312452101078
sstk_image_1689528136,9:16,54,54,54,30,30,5,crop,0.333094341856393
sstk_image_1689528136,16:9,136,136,136,30,30,5,crop,0.3662563756390438
