image_id,target_ar,selected_k,rank,candidate_id,source,source_group,score_final
sstk_image_1129108832,1:1,5,1,1x1_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,1.049906
sstk_image_1129108832,1:1,5,2,1x1_g12x12_sobj2_i0039,object_template,other,1.056345
sstk_image_1129108832,1:1,5,3,1x1_g12x12_s3_i0065,grid,grid,1.018525
sstk_image_1129108832,1:1,5,4,1x1_g12x12_smx1_i0003,baseline_maxarea_slide,baseline,1.07258
sstk_image_1129108832,1:1,5,5,1x1_g12x12_steach_cgs_jit0_10_i0005,teacher:jitter,teacher_seed,1.062783
sstk_image_1129108832,9:16,5,1,9x16_g12x12_smx1_i0003,baseline_maxarea_slide,baseline,0.998052
sstk_image_1129108832,9:16,5,2,9x16_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-2.924865
sstk_image_1129108832,9:16,5,3,9x16_g12x12_s0_i0055,grid,grid,-3.424659
sstk_image_1129108832,9:16,5,4,9x16_g12x12_s1_i0040,grid,grid,-5.361803
sstk_image_1129108832,9:16,5,5,9x16_g12x12_s0_i0059,grid,grid,-6.183424
sstk_image_1129108832,16:9,5,1,16x9_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-0.876638
sstk_image_1129108832,16:9,5,2,16x9_g12x12_sjit1_i0033,jitter,jitter,-2.205327
sstk_image_1129108832,16:9,5,3,16x9_g12x12_sobj0_i0031,object_template,other,-4.883739
sstk_image_1129108832,16:9,5,4,16x9_g12x12_s2_i0065,grid,grid,-5.5081
sstk_image_1129108832,16:9,5,5,16x9_g12x12_s0_i0092,grid,grid,-7.33457
sstk_image_1129108832,3:4,5,1,3x4_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,1.020023
sstk_image_1129108832,3:4,5,2,3x4_g12x12_sjit0_i0044,jitter,jitter,1.029025
sstk_image_1129108832,3:4,5,3,3x4_g12x12_s1_i0061,grid,grid,-2.431193
sstk_image_1129108832,3:4,5,4,3x4_g12x12_s1_i0059,grid,grid,-2.926205
sstk_image_1129108832,3:4,5,5,3x4_g12x12_smx1_i0003,baseline_maxarea_slide,baseline,1.043245
sstk_image_1129108832,4:3,5,1,4x3_g12x12_steach_cgs_proj0_i0001,teacher:cgs,teacher_seed,1.060751
sstk_image_1129108832,4:3,5,2,4x3_g12x12_s4_i0107,grid,grid,1.04175
sstk_image_1129108832,4:3,5,3,4x3_g12x12_sobj1_i0066,object_template,other,-1.846301
sstk_image_1129108832,4:3,5,4,4x3_g12x12_steach_cgs_jit0_19_i0004,teacher:jitter,teacher_seed,1.079698
sstk_image_1129108832,4:3,5,5,4x3_g12x12_steach_cgs_jit0_25_i0005,teacher:jitter,teacher_seed,1.072921
sstk_image_2213946367,1:1,5,1,1x1_g12x12_smx1_i0003,baseline_maxarea_slide,baseline,-3.219917
sstk_image_2213946367,1:1,5,2,1x1_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-5.905235
sstk_image_2213946367,1:1,5,3,1x1_g12x12_smx2_i0004,baseline_maxarea_slide,baseline,-6.490992
sstk_image_2213946367,1:1,5,4,1x1_g12x12_s3_i0049,grid,grid,-8.617474
sstk_image_2213946367,1:1,5,5,1x1_g12x12_s3_i0048,grid,grid,-11.154916
sstk_image_2213946367,9:16,5,1,9x16_g12x12_smx1_i0003,baseline_maxarea_slide,baseline,-11.71172
sstk_image_2213946367,9:16,5,2,9x16_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-16.467143
sstk_image_2213946367,9:16,5,3,9x16_g12x12_steach_cgs_jit0_12_i0011,teacher:jitter,teacher_seed,-14.955546
sstk_image_2213946367,9:16,5,4,9x16_g12x12_smx0_i0002,baseline_maxarea_slide,baseline,-20.669111
sstk_image_2213946367,9:16,5,5,9x16_g12x12_s0_i0040,grid,grid,-34.36556
sstk_image_2213946367,16:9,5,1,16x9_g12x12_steach_cgs_jit0_17_i0003,teacher:jitter,teacher_seed,1.093346
sstk_image_2213946367,16:9,5,2,16x9_g12x12_steach_cacnet_proj0_i0001,teacher:cacnet,teacher_seed,-0.702335
sstk_image_2213946367,16:9,5,3,16x9_g12x12_steach_cacnet_jit0_15_i0010,teacher:jitter,teacher_seed,1.086853
sstk_image_2213946367,16:9,5,4,16x9_g12x12_steach_cgs_jit0_19_i0004,teacher:jitter,teacher_seed,1.085443
sstk_image_2213946367,16:9,5,5,16x9_g12x12_steach_cgs_jit0_12_i0015,teacher:jitter,teacher_seed,1.083746
sstk_image_2213946367,3:4,5,1,3x4_g12x12_smx1_i0003,baseline_maxarea_slide,baseline,-6.874882
sstk_image_2213946367,3:4,5,2,3x4_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-10.460859
sstk_image_2213946367,3:4,5,3,3x4_g12x12_smx2_i0004,baseline_maxarea_slide,baseline,-12.626297
sstk_image_2213946367,3:4,5,4,3x4_g12x12_s1_i0039,grid,grid,-23.161661
sstk_image_2213946367,3:4,5,5,3x4_g12x12_s0_i0049,grid,grid,-28.798331
sstk_image_2213946367,4:3,5,1,4x3_g12x12_smx1_i0003,baseline_maxarea_slide,baseline,-0.440494
sstk_image_2213946367,4:3,5,2,4x3_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-2.493966
sstk_image_2213946367,4:3,5,3,4x3_g12x12_s4_i0071,grid,grid,-5.309747
sstk_image_2213946367,4:3,5,4,4x3_g12x12_steach_cgs_jit0_15_i0006,teacher:jitter,teacher_seed,-1.015387
sstk_image_2213946367,4:3,5,5,4x3_g12x12_sjit2_i0034,jitter,jitter,-1.031663
sstk_image_1862107621,1:1,5,1,1x1_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,1.079187
