image_id,pose_rows,card
sstk_image_312452888,5,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/001_sstk_image_312452888.jpg
bigstock_image_157996802,5,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/002_bigstock_image_157996802.jpg
sstk_image_1846518991,4,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/003_sstk_image_1846518991.jpg
sstk_image_2259612271,4,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/004_sstk_image_2259612271.jpg
sstk_image_489886252,4,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/005_sstk_image_489886252.jpg
sstk_image_604128710,3,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/006_sstk_image_604128710.jpg
sstk_image_1316424404,3,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/007_sstk_image_1316424404.jpg
sstk_image_1727361622,3,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/008_sstk_image_1727361622.jpg
sstk_image_1141860299,3,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/009_sstk_image_1141860299.jpg
sstk_image_1069647023,3,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/010_sstk_image_1069647023.jpg
pond5_image_124873691,3,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/011_pond5_image_124873691.jpg
sstk_image_245772589,3,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/012_sstk_image_245772589.jpg
sstk_image_80436817,3,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/013_sstk_image_80436817.jpg
bigstock_image_172538516,3,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/014_bigstock_image_172538516.jpg
pond5_image_158751784,3,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/015_pond5_image_158751784.jpg
sstk_image_2255355299,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/016_sstk_image_2255355299.jpg
sstk_image_1920906035,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/017_sstk_image_1920906035.jpg
bigstock_image_216046900,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/018_bigstock_image_216046900.jpg
sstk_image_2120608553,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/019_sstk_image_2120608553.jpg
bigstock_image_363753772,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/020_bigstock_image_363753772.jpg
sstk_image_1452858992,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/021_sstk_image_1452858992.jpg
sstk_image_580168381,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/022_sstk_image_580168381.jpg
sstk_image_2163655297,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/023_sstk_image_2163655297.jpg
sstk_image_129843518,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/024_sstk_image_129843518.jpg
pond5_image_39211772,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/025_pond5_image_39211772.jpg
sstk_image_1693447078,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/026_sstk_image_1693447078.jpg
sstk_image_303357524,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/027_sstk_image_303357524.jpg
sstk_image_1707402604,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/028_sstk_image_1707402604.jpg
pond5_image_107949787,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/029_pond5_image_107949787.jpg
sstk_image_2213458385,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/030_sstk_image_2213458385.jpg
pond5_image_146878993,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/031_pond5_image_146878993.jpg
sstk_image_1937810812,2,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/animal_pose_cards/032_sstk_image_1937810812.jpg
