image_id,image_route_name_no_placement,route_family_v2,person_shot_type,context_intent,routing_confidence,flat_route_class,card
bigstock_image_465633949,scene,scene,na,balanced,0.85,scene|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/001_bigstock_image_465633949.jpg
sstk_image_764371252,scene,scene,na,balanced,0.85,scene|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/002_sstk_image_764371252.jpg
sstk_image_2334268107,scene,scene,na,balanced,0.85,scene|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/003_sstk_image_2334268107.jpg
sstk_image_1998821651,scene,scene,na,balanced,0.85,scene|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/004_sstk_image_1998821651.jpg
sstk_image_2072822885,scene,scene,na,balanced,0.85,scene|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/005_sstk_image_2072822885.jpg
sstk_image_1365109937,scene,scene,na,balanced,0.85,scene|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/006_sstk_image_1365109937.jpg
sstk_image_2000771153,scene,scene,na,balanced,0.85,scene|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/007_sstk_image_2000771153.jpg
sstk_image_2205141365,scene,scene,na,balanced,0.85,scene|na|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/008_sstk_image_2205141365.jpg
sstk_image_2053812860,person_single_face_headshot,person_single,face_headshot,environmental,0.99,person_single|face_headshot|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/009_sstk_image_2053812860.jpg
sstk_image_1715987716,person_single_face_headshot,person_single,face_headshot,tight_subject,0.95,person_single|face_headshot|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/010_sstk_image_1715987716.jpg
sstk_image_1730141206,person_single_face_headshot,person_single,face_headshot,tight_subject,0.95,person_single|face_headshot|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/011_sstk_image_1730141206.jpg
sstk_image_1537319063,person_single_face_headshot,person_single,face_headshot,tight_subject,0.95,person_single|face_headshot|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/012_sstk_image_1537319063.jpg
sstk_image_642009847,person_single_face_headshot,person_single,face_headshot,tight_subject,0.95,person_single|face_headshot|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/013_sstk_image_642009847.jpg
sstk_image_1716035917,person_single_face_headshot,person_single,face_headshot,tight_subject,0.95,person_single|face_headshot|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/014_sstk_image_1716035917.jpg
sstk_image_543524833,person_single_face_headshot,person_single,face_headshot,tight_subject,0.95,person_single|face_headshot|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/015_sstk_image_543524833.jpg
sstk_image_1493816114,person_single_face_headshot,person_single,face_headshot,tight_subject,0.95,person_single|face_headshot|center|tight_subject|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/016_sstk_image_1493816114.jpg
sstk_image_1152139658,person_single_upper_half_body,person_single,upper_half_body,environmental,0.99,person_single|upper_half_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/017_sstk_image_1152139658.jpg
sstk_image_200707688,person_single_upper_half_body,person_single,upper_half_body,environmental,0.99,person_single|upper_half_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/018_sstk_image_200707688.jpg
sstk_image_1338395687,person_single_upper_half_body,person_single,upper_half_body,environmental,0.99,person_single|upper_half_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/019_sstk_image_1338395687.jpg
sstk_image_1511679077,person_single_upper_half_body,person_single,upper_half_body,balanced,0.99,person_single|upper_half_body|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/020_sstk_image_1511679077.jpg
sstk_image_1111022816,person_single_upper_half_body,person_single,upper_half_body,balanced,0.99,person_single|upper_half_body|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/021_sstk_image_1111022816.jpg
sstk_image_1100754410,person_single_upper_half_body,person_single,upper_half_body,environmental,0.99,person_single|upper_half_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/022_sstk_image_1100754410.jpg
pond5_image_150434183,person_single_upper_half_body,person_single,upper_half_body,environmental,0.99,person_single|upper_half_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/023_pond5_image_150434183.jpg
sstk_image_716572759,person_single_upper_half_body,person_single,upper_half_body,environmental,0.99,person_single|upper_half_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/024_sstk_image_716572759.jpg
sstk_image_1052333534,person_single_full_body,person_single,full_body,environmental,0.99,person_single|full_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/025_sstk_image_1052333534.jpg
sstk_image_1762336328,person_single_full_body,person_single,full_body,balanced,0.99,person_single|full_body|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/026_sstk_image_1762336328.jpg
sstk_image_1550340830,person_single_full_body,person_single,full_body,balanced,0.99,person_single|full_body|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/027_sstk_image_1550340830.jpg
pond5_image_106613620,person_single_full_body,person_single,full_body,environmental,0.99,person_single|full_body|center|environmental|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/028_pond5_image_106613620.jpg
sstk_image_1704484381,person_single_full_body,person_single,full_body,balanced,0.99,person_single|full_body|center|balanced|feasible,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/qualitative_viz/routing_cards/029_sstk_image_1704484381.jpg
