source_image_id,image_route,legacy_subject_mode,routing_confidence,face_ratio,ankle_conf_max,ankle_y_norm,pose_bbox_height_ratio,lower_body_reliable,reasons,in_selected_panel,issue_type,caption,user_marked
bigstock_image_292908289,person_single_face_headshot,portrait_single,0.95,0.073488,0.904274,0.68507,0.615586,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,True,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_114358384,person_single_face_headshot,portrait_single,0.95,0.12468,0.920868,0.693081,0.559766,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,True,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_72309116,person_single_face_headshot,portrait_single,0.95,0.098438,0.948097,0.899189,0.705662,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,True,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
pond5_image_86336860,person_single_face_headshot,portrait_single,0.95,0.105754,0.919424,0.769106,0.673829,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,True,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
sstk_image_627671798,person_single_face_headshot,portrait_single,0.95,0.040669,0.599757,0.85877,0.633909,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,True,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_110426498,person_single_face_headshot,portrait_single,0.83,0.090268,0.877586,0.83497,0.725815,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_120587939,person_single_face_headshot,portrait_single,0.95,0.065932,0.759619,0.88748,0.809818,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_127465529,person_single_face_headshot,portrait_single,0.95,0.057956,0.42015,0.638584,0.720153,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_139096124,person_single_face_headshot,portrait_single,0.79,0.013952,0.321099,0.633987,0.65102,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
bigstock_image_181289674,person_single_face_headshot,portrait_single,0.95,0.089894,0.911526,0.887616,0.660757,True,legacy_portrait_single;shot_face_headshot:existing_shot_type,False,image_face_headshot_with_full_body_pose,face route but lower_body=1,False
