source_image_id,image_route,legacy_subject_mode,routing_confidence,num_person,num_person_c2,person_union_area_ratio,pose_available,positive_vote_route_family_share,positive_vote_route_family_weight,reasons,in_selected_panel,issue_type,caption,user_marked
bigstock_image_115747316,person_group,portrait_group,0.99,1.0,1.0,0.078652,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
bigstock_image_171246869,person_group,portrait_group,0.99,1.0,1.0,0.102879,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
bigstock_image_173600372,person_group,portrait_group,0.99,1.0,1.0,0.059413,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,True
bigstock_image_214823983,person_group,portrait_group,0.99,1.0,1.0,0.225721,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
bigstock_image_218257906,person_group,portrait_group,0.99,1.0,1.0,0.108597,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
bigstock_image_233205895,person_group,portrait_group,0.99,1.0,1.0,0.070717,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
bigstock_image_247678465,person_group,portrait_group,0.99,1.0,1.0,0.202075,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
bigstock_image_85050737,person_group,portrait_group,0.99,1.0,1.0,0.239728,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_101326243,person_group,portrait_group,0.99,1.0,1.0,0.041163,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_105898371,person_group,portrait_group,0.99,1.0,1.0,0.109901,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_114415241,person_group,portrait_group,0.99,1.0,1.0,0.169633,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_124245186,person_group,portrait_group,0.99,1.0,1.0,0.014805,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_128935973,person_group,portrait_group,0.99,1.0,1.0,0.111544,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_134416372,person_group,portrait_group,0.99,1.0,1.0,0.195922,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_139117122,person_group,portrait_group,0.99,1.0,1.0,0.182498,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_143273930,person_group,portrait_group,0.99,1.0,1.0,0.043912,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_156415111,person_group,portrait_group,0.99,1.0,1.0,0.165082,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_201293170,person_group,portrait_group,0.99,1.0,1.0,0.04192,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_232387595,person_group,portrait_group,0.99,1.0,1.0,0.028758,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
pond5_image_52342129,person_group,portrait_group,0.99,1.0,1.0,0.130285,True,0.0,0.0,legacy_portrait_group,True,image_group_with_single_person_evidence,group but num_person=1,False
