source_image_id,image_route_name_no_placement,image_v16_summary_mode_aux,image_flat_route_class_aux,image_route_family_v2,image_person_shot_type,image_context_intent,image_routing_confidence,positive_total,ar_mode_group_count,shown_crop_count,review_image,source_image,mode_counts_json,target_ar_counts_json,routing_v2_counts_json,flat_route_counts_json
sstk_image_1828217024,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,12,10,10,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_1828217024.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_1828217024.jpg,"{""person_group_center"": 4, ""person_single_face_headshot_center"": 5, ""person_single_upper_half_body_center"": 2, ""scene_center"": 1}","{""16:9"": 1, ""1:1"": 3, ""3:4"": 3, ""4:3"": 1, ""9:16"": 1, ""FREE"": 3}","{""person_group/na/center/balanced/feasible"": 4, ""person_single/face_headshot/center/tight_subject/feasible"": 5, ""person_single/upper_half_body/center/balanced/feasible"": 2, ""scene/na/center/balanced/feasible"": 1}","{""person_group|na|center|balanced|feasible"": 4, ""person_single|face_headshot|center|tight_subject|feasible"": 5, ""person_single|upper_half_body|center|balanced|feasible"": 2, ""scene|na|center|balanced|feasible"": 1}"
pond5_image_134416372,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,16,16,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_134416372.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_134416372.jpg,"{""person_group_center"": 4, ""person_group_rot"": 3, ""person_single_face_headshot_center"": 2, ""person_single_full_body_center"": 3, ""person_single_full_body_rot"": 2, ""scene_center"": 2}","{""16:9"": 2, ""1:1"": 4, ""3:4"": 2, ""4:3"": 3, ""9:16"": 1, ""FREE"": 4}","{""person_group/na/center/balanced/feasible"": 4, ""person_group/na/rot/balanced/feasible"": 3, ""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/full_body/center/balanced/feasible"": 3, ""person_single/full_body/rot/balanced/feasible"": 2, ""scene/na/center/balanced/feasible"": 2}","{""person_group|na|center|balanced|feasible"": 4, ""person_group|na|rot|balanced|feasible"": 3, ""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|full_body|center|balanced|feasible"": 3, ""person_single|full_body|rot|balanced|feasible"": 2, ""scene|na|center|balanced|feasible"": 2}"
bigstock_image_171246869,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,17,17,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_bigstock_image_171246869.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/bigstock_image_171246869.jpg,"{""person_group_center"": 6, ""person_group_rot"": 5, ""person_single_full_body_center"": 3, ""person_single_full_body_rot"": 1, ""scene_center"": 2}","{""16:9"": 3, ""1:1"": 2, ""3:4"": 2, ""4:3"": 4, ""9:16"": 1, ""FREE"": 5}","{""person_group/na/center/balanced/feasible"": 6, ""person_group/na/rot/balanced/feasible"": 5, ""person_single/full_body/center/balanced/feasible"": 3, ""person_single/full_body/rot/balanced/feasible"": 1, ""scene/na/center/balanced/feasible"": 2}","{""person_group|na|center|balanced|feasible"": 6, ""person_group|na|rot|balanced|feasible"": 5, ""person_single|full_body|center|balanced|feasible"": 3, ""person_single|full_body|rot|balanced|feasible"": 1, ""scene|na|center|balanced|feasible"": 2}"
sstk_image_1469762474,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,37,29,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_1469762474.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_1469762474.jpg,"{""person_group_center"": 4, ""person_single_face_headshot_center"": 12, ""person_single_full_body_center"": 4, ""person_single_full_body_rot"": 5, ""pet_dogcat_center"": 5, ""pet_dogcat_rot"": 6, ""scene_center"": 1}","{""16:9"": 3, ""1:1"": 7, ""3:4"": 9, ""4:3"": 4, ""9:16"": 6, ""FREE"": 8}","{""person_group/na/center/balanced/feasible"": 4, ""person_single/face_headshot/center/tight_subject/feasible"": 12, ""person_single/full_body/center/balanced/feasible"": 4, ""person_single/full_body/rot/balanced/feasible"": 5, ""pet_dogcat/na/center/tight_subject/feasible"": 5, ""pet_dogcat/na/rot/balanced/feasible"": 6, ""scene/na/center/balanced/feasible"": 1}","{""person_group|na|center|balanced|feasible"": 4, ""person_single|face_headshot|center|tight_subject|feasible"": 12, ""person_single|full_body|center|balanced|feasible"": 4, ""person_single|full_body|rot|balanced|feasible"": 5, ""pet_dogcat|na|center|tight_subject|feasible"": 5, ""pet_dogcat|na|rot|balanced|feasible"": 6, ""scene|na|center|balanced|feasible"": 1}"
bigstock_image_247678465,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,10,10,10,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_bigstock_image_247678465.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/bigstock_image_247678465.jpg,"{""person_group_center"": 4, ""person_single_face_headshot_center"": 3, ""scene_center"": 3}","{""16:9"": 2, ""1:1"": 2, ""3:4"": 1, ""4:3"": 2, ""9:16"": 1, ""FREE"": 2}","{""person_group/na/center/balanced/feasible"": 4, ""person_single/face_headshot/center/tight_subject/feasible"": 3, ""scene/na/center/balanced/feasible"": 3}","{""person_group|na|center|balanced|feasible"": 4, ""person_single|face_headshot|center|tight_subject|feasible"": 3, ""scene|na|center|balanced|feasible"": 3}"
sstk_image_1868890951,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,19,19,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_1868890951.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_1868890951.jpg,"{""person_group_center"": 5, ""person_group_rot"": 4, ""person_single_face_headshot_center"": 2, ""person_single_full_body_center"": 3, ""person_single_full_body_rot"": 3, ""scene_center"": 2}","{""16:9"": 4, ""1:1"": 3, ""3:4"": 2, ""4:3"": 5, ""FREE"": 5}","{""person_group/na/center/balanced/feasible"": 5, ""person_group/na/rot/balanced/feasible"": 4, ""person_single/face_headshot/center/tight_subject/feasible"": 2, ""person_single/full_body/center/balanced/feasible"": 3, ""person_single/full_body/rot/balanced/feasible"": 3, ""scene/na/center/balanced/feasible"": 2}","{""person_group|na|center|balanced|feasible"": 5, ""person_group|na|rot|balanced|feasible"": 4, ""person_single|face_headshot|center|tight_subject|feasible"": 2, ""person_single|full_body|center|balanced|feasible"": 3, ""person_single|full_body|rot|balanced|feasible"": 3, ""scene|na|center|balanced|feasible"": 2}"
sstk_image_183318698,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,24,24,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_183318698.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_183318698.jpg,"{""person_group_center"": 6, ""person_group_rot"": 6, ""person_single_full_body_center"": 5, ""person_single_full_body_rot"": 5, ""scene_center"": 2}","{""16:9"": 4, ""1:1"": 4, ""3:4"": 4, ""4:3"": 5, ""9:16"": 2, ""FREE"": 5}","{""person_group/na/center/balanced/feasible"": 6, ""person_group/na/rot/balanced/feasible"": 6, ""person_single/full_body/center/balanced/feasible"": 5, ""person_single/full_body/rot/balanced/feasible"": 5, ""scene/na/center/balanced/feasible"": 2}","{""person_group|na|center|balanced|feasible"": 6, ""person_group|na|rot|balanced|feasible"": 6, ""person_single|full_body|center|balanced|feasible"": 5, ""person_single|full_body|rot|balanced|feasible"": 5, ""scene|na|center|balanced|feasible"": 2}"
sstk_image_758094478,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,18,18,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_758094478.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_758094478.jpg,"{""person_group_center"": 6, ""person_group_rot"": 4, ""person_single_face_headshot_center"": 2, ""scene_center"": 6}","{""16:9"": 3, ""1:1"": 4, ""3:4"": 3, ""4:3"": 3, ""9:16"": 2, ""FREE"": 3}","{""person_group/na/center/balanced/feasible"": 6, ""person_group/na/rot/balanced/feasible"": 4, ""person_single/face_headshot/center/tight_subject/feasible"": 2, ""scene/na/center/balanced/feasible"": 6}","{""person_group|na|center|balanced|feasible"": 6, ""person_group|na|rot|balanced|feasible"": 4, ""person_single|face_headshot|center|tight_subject|feasible"": 2, ""scene|na|center|balanced|feasible"": 6}"
sstk_image_789389968,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,16,16,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_sstk_image_789389968.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/sstk_image_789389968.jpg,"{""person_group_center"": 4, ""person_group_rot"": 4, ""person_single_upper_half_body_center"": 4, ""person_single_upper_half_body_rot"": 4}","{""1:1"": 4, ""3:4"": 4, ""9:16"": 4, ""FREE"": 4}","{""person_group/na/center/balanced/feasible"": 4, ""person_group/na/rot/balanced/feasible"": 4, ""person_single/upper_half_body/center/balanced/feasible"": 4, ""person_single/upper_half_body/rot/balanced/feasible"": 4}","{""person_group|na|center|balanced|feasible"": 4, ""person_group|na|rot|balanced|feasible"": 4, ""person_single|upper_half_body|center|balanced|feasible"": 4, ""person_single|upper_half_body|rot|balanced|feasible"": 4}"
pond5_image_89334168,person_group,person_group,person_group|na|center|balanced|feasible,person_group,,balanced,0.99,24,21,12,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/artifacts/training_labels_multimode/260609_v17_routing_v2_precompute_native_nofood_petstrict_cropstrict_nms_v5/crop_review_routing_v2_v17_precompute_native/panels_unified_220/panels/review_pond5_image_89334168.jpg,data/SSTK/PhaseA_PhotoPrimary_10K_SigLIP2_v5_20260529/images/pond5_image_89334168.jpg,"{""person_group_center"": 4, ""person_group_rot"": 4, ""person_single_face_headshot_center"": 3, ""person_single_full_body_center"": 7, ""person_single_full_body_rot"": 4, ""scene_center"": 2}","{""1:1"": 5, ""3:4"": 7, ""9:16"": 5, ""FREE"": 7}","{""person_group/na/center/balanced/feasible"": 4, ""person_group/na/rot/balanced/feasible"": 4, ""person_single/face_headshot/center/tight_subject/feasible"": 3, ""person_single/full_body/center/balanced/feasible"": 7, ""person_single/full_body/rot/balanced/feasible"": 4, ""scene/na/center/balanced/feasible"": 2}","{""person_group|na|center|balanced|feasible"": 4, ""person_group|na|rot|balanced|feasible"": 4, ""person_single|face_headshot|center|tight_subject|feasible"": 3, ""person_single|full_body|center|balanced|feasible"": 7, ""person_single|full_body|rot|balanced|feasible"": 4, ""scene|na|center|balanced|feasible"": 2}"
