super_cat,image_id,tar_name,bucket,width,height,aes_score
animals,sstk_image_2257975789,SSTK_002698.tar,,1000,666,6.418116569519043
architecture_exterior,sstk_image_1165522843,SSTK_004658.tar,,770,1000,6.391430854797363
documents_text,sstk_image_2129282159,SSTK_004811.tar,,1000,667,6.185339450836182
food,sstk_image_2024012429,SSTK_003419.tar,,1000,667,6.369629859924316
indoor_interior,sstk_image_629195588,SSTK_004477.tar,,1000,667,6.211565017700195
landscape_nature,sstk_image_1104016514,SSTK_001072.tar,,1000,667,6.651422023773193
other_ambiguous,sstk_image_174059567,SSTK_001159.tar,,1000,825,6.255481243133545
people_multi,pond5_image_99604568,SSTK_003610.tar,,1000,667,6.418779373168945
people_single,sstk_image_2190537205,SSTK_003116.tar,,789,1000,6.854852676391602
product_object,sstk_image_1955755765,SSTK_002939.tar,,985,1000,6.219361305236816
sports,sstk_image_1178976352,SSTK_000656.tar,,699,1000,6.608759880065918
transportation,sstk_image_1977782153,SSTK_001721.tar,,750,1000,6.341640472412109
