image_id,target_ar,selected_k,top1_final,mean_final
bigstock_image_109682993,16:9,5,-2.062795,-2.4456308
bigstock_image_109682993,1:1,5,-5.142467,-9.0822822
bigstock_image_109682993,3:4,5,-9.498865,-12.2252346
bigstock_image_109682993,4:3,5,-1.884559,-2.4400366
bigstock_image_109682993,9:16,5,-15.178194,-19.4416562
bigstock_image_112983323,16:9,5,1.038616,0.5389626
bigstock_image_112983323,1:1,5,-1.972498,-4.361025
bigstock_image_112983323,3:4,5,-5.239979,-8.2340792
bigstock_image_112983323,4:3,5,1.069999,-0.37418239999999997
bigstock_image_112983323,9:16,5,-9.527321,-13.4733024
bigstock_image_117250328,16:9,3,-14.138482,-19.197421333333335
bigstock_image_117250328,1:1,5,-0.823,-1.8596476
bigstock_image_117250328,3:4,5,-1.155365,-4.039564
bigstock_image_117250328,4:3,5,-1.214346,-2.3959746
bigstock_image_117250328,9:16,1,-4.19792,-4.19792
bigstock_image_122199020,16:9,5,-17.597881,-25.450226800000003
bigstock_image_122199020,1:1,5,-6.139424,-6.903595200000001
bigstock_image_122199020,3:4,5,-0.909635,-1.180815
bigstock_image_122199020,4:3,2,-12.174076,-12.7456545
bigstock_image_122199020,9:16,5,-8.65855,-11.6249854
bigstock_image_129575693,16:9,5,1.016183,-0.608725
bigstock_image_129575693,1:1,5,1.012596,-1.0199141999999999
bigstock_image_129575693,3:4,5,0.956335,-1.204306
bigstock_image_129575693,4:3,5,1.054441,-0.4571306
bigstock_image_129575693,9:16,5,0.9511,-0.6774722
bigstock_image_134277740,16:9,5,-30.985356,-37.579038
bigstock_image_134277740,1:1,5,-9.058091,-15.209197999999997
bigstock_image_134277740,3:4,1,-1.325162,-1.325162
bigstock_image_134277740,4:3,5,-19.021293,-24.194629
bigstock_image_134277740,9:16,5,-1.345877,-1.9334139999999997
bigstock_image_138122447,16:9,5,-26.414889,-31.6794896
bigstock_image_138122447,1:1,5,-7.865273,-12.6574116
bigstock_image_138122447,3:4,1,-1.880881,-1.880881
bigstock_image_138122447,4:3,5,-16.094677,-23.1375672
bigstock_image_138122447,9:16,5,-1.911813,-2.2439932
bigstock_image_139993538,16:9,5,-1.50617,-9.759102
bigstock_image_139993538,1:1,5,-1.531048,-11.8526382
bigstock_image_139993538,3:4,5,-14.088905,-23.175759199999998
bigstock_image_139993538,4:3,5,-4.615677,-12.31838
bigstock_image_139993538,9:16,5,-21.201164,-34.1985556
bigstock_image_141430643,16:9,5,0.99487,-0.49036280000000004
bigstock_image_141430643,1:1,5,1.076146,1.0334748
bigstock_image_141430643,3:4,5,1.079257,1.0302612
bigstock_image_141430643,4:3,5,1.039791,0.26358899999999996
bigstock_image_141430643,9:16,5,1.052868,0.18041639999999992
bigstock_image_146823560,16:9,5,1.032852,0.9682168000000001
bigstock_image_146823560,1:1,5,1.020136,0.982823
bigstock_image_146823560,3:4,5,0.976643,0.937894
bigstock_image_146823560,4:3,5,1.047434,0.9861036000000001
bigstock_image_146823560,9:16,5,0.905975,-0.1800932
bigstock_image_149147297,16:9,5,-0.86309,-1.387848
bigstock_image_149147297,1:1,5,-0.880652,-2.9696948
bigstock_image_149147297,3:4,5,-3.256353,-7.919819200000001
bigstock_image_149147297,4:3,5,-0.852177,-2.313667
bigstock_image_149147297,9:16,5,-6.896648,-11.118511
