image_id,target_ar,decision_type,selected_k,delta_improve_vs_baseline,teacher_backend,teacher_confidence,validator_note,baseline_used_candidate_id
sstk_image_1237001830,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_1237001830,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_1237001830,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_1237001830,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_1237001830,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
pond5_image_47113082,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
pond5_image_47113082,9:16,crop,5,0.0,qwen25_vl,0.5,,9x16_g12x12_smaxc_i0001
pond5_image_47113082,16:9,keep_full,5,0.0,qwen25_vl,0.5,,16x9_g12x12_smaxc_i0001
pond5_image_47113082,3:4,keep_full,5,0.0,qwen25_vl,0.5,,3x4_g12x12_smaxc_i0001
pond5_image_47113082,4:3,crop,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
sstk_image_1108055033,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_1108055033,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_1108055033,16:9,crop,5,0.0,qwen25_vl,0.5,,16x9_g12x12_steach_gaic_proj0_i0001
sstk_image_1108055033,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_1108055033,4:3,keep_full,5,0.0,qwen25_vl,0.5,,4x3_g12x12_smaxc_i0001
sstk_image_139509770,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smaxc_i0001
sstk_image_139509770,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
sstk_image_139509770,16:9,keep_full,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
sstk_image_139509770,3:4,keep_full,5,0.0,qwen25_vl,1.0,,3x4_g12x12_smaxc_i0001
sstk_image_139509770,4:3,keep_full,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
pond5_image_143575051,1:1,keep_full,5,0.0,qwen25_vl,1.0,,1x1_g12x12_smy0_i0002
pond5_image_143575051,9:16,keep_full,5,0.0,qwen25_vl,1.0,,9x16_g12x12_smaxc_i0001
pond5_image_143575051,16:9,crop,5,0.0,qwen25_vl,1.0,,16x9_g12x12_s1_i0023
pond5_image_143575051,3:4,keep_full,4,0.0,qwen25_vl,1.0,,3x4_g12x12_smy0_i0002
pond5_image_143575051,4:3,crop,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smy0_i0002
bigstock_image_459741757,1:1,keep_full,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
bigstock_image_459741757,9:16,crop,5,0.0,qwen25_vl,0.9826269999999999,,9x16_g12x12_smaxc_i0001
bigstock_image_459741757,16:9,crop,5,0.0,qwen25_vl,1.0,,16x9_g12x12_smaxc_i0001
bigstock_image_459741757,3:4,crop,5,0.0,qwen25_vl,0.9844520000000001,,3x4_g12x12_smaxc_i0001
bigstock_image_459741757,4:3,crop,5,0.0,qwen25_vl,1.0,,4x3_g12x12_smaxc_i0001
pond5_image_32036946,1:1,crop,5,0.0,qwen25_vl,0.5,,1x1_g12x12_smaxc_i0001
pond5_image_32036946,9:16,crop,5,0.0,qwen25_vl,0.5818669999999999,,9x16_g12x12_smx2_i0004
pond5_image_32036946,16:9,keep_full,5,0.0,qwen25_vl,0.5239010000000002,,16x9_g12x12_smaxc_i0001
